cycle,visit_id,config_id,altslot_id,slot_id,slotdur,ra,dec,elat,glat,orient,inst,mode,categ,apt_target,apt_tile,apt_config,apt_pointing,apt_exposure
1,01176221001,01176221001_10104,01176221001_10104_03,01176221001_0015,661,3.571143,-30.392491,-29.048197,-81.231414,7.5713531,NIRCam,Imaging,GTO,1,1,4,15,3
1,01176221001,01176221001_10104,01176221001_10104_04,01176221001_0016,661,3.571459,-30.390846,-29.046855,-81.232221,7.5713531,NIRCam,Imaging,GTO,1,1,4,16,4
1,01176231001,01176231001_10101,01176231001_10101_01,01176231001_0001,866,177.405350,22.375097,19.426973,75.195938,259.5713531,NIRCam,Imaging,GTO,1,1,1,1,1
1,01176231001,01176231001_10101,01176231001_10101_02,01176231001_0002,866,177.407133,22.375346,19.427893,75.197561,259.5713531,NIRCam,Imaging,GTO,1,1,1,2,2
1,01176231001,01176231001_10101,01176231001_10101_03,01176231001_0003,866,177.406863,22.376995,19.429284,75.197943,259.5713531,NIRCam,Imaging,GTO,1,1,1,3,3
1,01176231001,01176231001_10101,01176231001_10101_04,01176231001_0004,866,177.405080,22.376746,19.428363,75.196320,259.5713531,NIRCam,Imaging,GTO,1,1,1,4,4
1,01176231001,01176231001_10102,01176231001_10102_01,01176231001_0005,866,177.405350,22.375097,19.426973,75.195938,259.5713531,NIRCam,Imaging,GTO,1,1,2,5,1
1,01176231001,01176231001_10102,01176231001_10102_02,01176231001_0006,866,177.407133,22.375346,19.427893,75.197561,259.5713531,NIRCam,Imaging,GTO,1,1,2,6,2
1,01176231001,01176231001_10102,01176231001_10102_03,01176231001_0007,866,177.406863,22.376995,19.429284,75.197943,259.5713531,NIRCam,Imaging,GTO,1,1,2,7,3
1,01176231001,01176231001_10102,01176231001_10102_04,01176231001_0008,866,177.405080,22.376746,19.428363,75.196320,259.5713531,NIRCam,Imaging,GTO,1,1,2,8,4
1,01176231001,01176231001_10103,01176231001_10103_01,01176231001_0009,651,177.405350,22.375097,19.426973,75.195938,259.5713531,NIRCam,Imaging,GTO,1,1,3,9,1
1,01176231001,01176231001_10103,01176231001_10103_02,01176231001_0010,651,177.407133,22.375346,19.427893,75.197561,259.5713531,NIRCam,Imaging,GTO,1,1,3,10,2
1,01176231001,01176231001_10103,01176231001_10103_03,01176231001_0011,651,177.406863,22.376995,19.429284,75.197943,259.5713531,NIRCam,Imaging,GTO,1,1,3,11,3
